imdb_id,name,imdb_rating,meta_score,votes,genres,runtime,certificate,revenue,budget,release_date,language
tt0114369,Se7en,8.6,65,1328756,"Crime, Drama, Mystery",127,R,327311859,33000000,1995-09-22,English
tt0112573,Braveheart,8.3,68,909573,"Biography, Drama, History",178,R,213216216,72000000,1995-05-24,English
tt0114709,Toy Story,8.3,95,823771,"Animation, Adventure, Comedy",81,G,406594102,30000000,1995-11-22,English
tt0112442,Bad Boys,6.9,41,212711,"Action, Comedy, Crime",119,R,141407024,19000000,1995-04-07,English
tt0112641,Casino,8.2,73,425939,"Crime, Drama",178,R,116112375,52000000,1995-11-22,English
tt0113277,Heat,8.2,76,536313,"Crime, Drama, Thriller",170,R,187436818,60000000,1995-12-15,English
tt0113497,Jumanji,7,39,278823,"Adventure, Comedy, Family",104,PG,262821940,65000000,1995-12-15,English
tt0112697,Clueless,6.8,68,162060,"Comedy, Romance",97,PG-13,56631572,12000000,1995-07-19,English
tt0110006,Heavyweights,6.6,42,23438,"Comedy, Drama, Family",100,PG,17689177,0,1995-02-17,English
tt0114814,The Usual Suspects,8.5,77,929251,"Crime, Mystery, Thriller",106,R,23341568,6000000,1995-09-15,English
tt0112462,Batman Forever,5.4,51,224854,"Action, Adventure, Fantasy",121,PG-13,336567531,100000000,1995-06-16,English
tt0113118,Friday,7.3,54,92900,"Comedy, Drama",91,R,28215918,3500000,1995-04-26,English
tt0113189,GoldenEye,7.2,65,226472,"Action, Adventure, Thriller",130,PG-13,352194034,60000000,1995-11-17,English
tt0114746,12 Monkeys,8,74,548307,"Mystery, Sci-Fi, Thriller",129,R,168839459,29000001,1996-01-05,English
tt0114148,Pocahontas,6.7,58,157286,"Animation, Adventure, Drama",81,G,346079773,55000000,1995-06-23,English
tt0114898,Waterworld,6.2,56,170444,"Action, Adventure, Sci-Fi",135,PG-13,264218220,175000000,1995-07-28,English
tt0112508,Billy Madison,6.4,16,123578,Comedy,89,PG-13,26488734,10000000,1995-02-10,English
tt0114436,Showgirls,4.8,16,58533,Drama,128,NC-17,20350754,45000000,1995-09-22,English
tt0112384,Apollo 13,7.6,77,251602,"Adventure, Drama, History",140,PG,355237933,52000000,1995-06-30,English
tt0113540,Kids,7.1,63,69142,Drama,91,Unrated,7412216,1500000,1995-09-01,English
tt0112642,Casper,6.1,49,111027,"Comedy, Family, Fantasy",100,PG,287928194,50000000,1995-05-26,English
tt0114388,Sense and Sensibility,7.6,84,94518,"Drama, Romance",136,PG,134582776,16000000,1996-01-26,English
tt0112471,Before Sunrise,8.1,77,245537,"Drama, Romance",101,R,5986708,2500000,1995-01-27,English
tt0112864,Die Hard with a Vengeance,7.6,58,346567,"Action, Adventure, Thriller",128,R,366236538,90000000,1995-05-19,English
tt0114508,Species,5.8,49,70573,"Action, Horror, Sci-Fi",108,R,113374103,35000000,1995-07-07,English
