,runtime,certificate,budget,release_day,release_year,result,Mystery,Romance,Sport,Sci-Fi,Family,Horror,Thriller,Musical,Crime,Drama,Fantasy,War,Animation,Music,Adventure,Action,Comedy,Western,Biography,History
0,127,R,33.0,Friday,1995,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,178,R,72.0,Wednesday,1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2,81,G,30.0,Wednesday,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
3,119,R,19.0,Friday,1995,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,178,R,52.0,Wednesday,1995,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,170,R,60.0,Friday,1995,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
6,104,PG,65.0,Friday,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,97,PG-13,12.0,Wednesday,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,106,R,6.0,Friday,1995,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,121,PG-13,100.0,Friday,1995,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
11,91,R,3.5,Wednesday,1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12,130,PG-13,60.0,Friday,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
13,129,R,29.000001,Friday,1996,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,81,G,55.0,Friday,1995,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
15,135,PG-13,175.0,Friday,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,89,PG-13,10.0,Friday,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,128,NC-17,45.0,Friday,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,140,PG,52.0,Friday,1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
19,91,Unrated,1.5,Friday,1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,100,PG,50.0,Friday,1995,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,136,PG,16.0,Friday,1996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,101,R,2.5,Friday,1995,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,128,R,90.0,Friday,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
24,108,R,35.0,Friday,1995,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,111,R,3.6,Friday,1996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,103,PG-13,20.0,Friday,1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
27,106,R,20.0,Friday,1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
28,107,PG-13,20.0,Friday,1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
29,101,PG-13,18.0,Friday,1995,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
31,107,R,32.0,Friday,1995,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,104,R,7.0,Friday,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,103,PG,17.0,Friday,1995,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,109,PG-13,50.0,Friday,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
36,105,R,30.25,Friday,1995,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
38,127,PG,58.0,Friday,1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40,145,R,42.0,Friday,1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
41,104,R,25.0,Friday,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43,135,PG-13,24.0,Friday,1995,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,94,R,6.0,Friday,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,87,R,5.0,Friday,1995,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,90,PG-13,12.0,Friday,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,91,G,30.0,Friday,1995,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
48,90,PG-13,30.0,Friday,1995,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
49,122,R,11.0,Friday,1996,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50,127,R,50.0,Friday,1995,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
52,95,PG,15.0,Friday,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
54,97,G,17.0,Friday,1995,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,116,R,53.0,Friday,1995,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
57,143,PG,23.0,Friday,1996,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
58,89,PG,15.0,Friday,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
59,99,R,23.0,Friday,1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
